inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,3,1,2568,8,5.2,29.0,3.367295829986474,1.6486586255873816
2022,3,3,244,4,7.2,45.0,3.8066624897703196,1.9740810260220096
2022,3,3,244,11,1.0,7.0,1.9459101490553132,0.0
2022,3,3,244,19,1.4,7.0,1.9459101490553132,0.3364722366212129
2022,3,3,258,33,9.2,38.0,3.6375861597263857,2.2192034840549946
2022,3,3,258,49,4.0,21.0,3.044522437723423,1.3862943611198906
2022,3,3,258,50,3.6,21.0,3.044522437723423,1.2809338454620642
2022,3,3,258,72,15.9,58.0,4.060443010546419,2.766319109226186
2022,3,3,258,73,9.8,43.0,3.7612001156935624,2.2823823856765264
2022,3,3,329,3,13.1,72.0,4.276666119016055,2.5726122302071057
2022,3,3,329,6,16.2,80.0,4.382026634673881,2.785011242238338
2022,3,3,329,7,14.8,78.0,4.356708826689592,2.6946271807700692
2022,3,3,329,10,20.0,87.0,4.465908118654584,2.995732273553991
2022,3,3,329,11,12.1,66.0,4.189654742026425,2.4932054526026954
2022,3,3,329,12,16.4,74.0,4.30406509320417,2.797281334830153
2022,3,3,329,15,13.8,74.0,4.30406509320417,2.624668592163159
2022,3,3,329,16,10.7,67.0,4.204692619390966,2.3702437414678603
2022,3,3,329,17,12.3,75.0,4.31748811353631,2.509599262378372
2022,3,3,361,18,9.7,47.0,3.8501476017100584,2.272125885509337
2022,3,3,361,38,18.8,62.0,4.127134385045092,2.9338568698359038
2022,3,3,415,4,12.9,49.0,3.8918202981106265,2.5572273113676265
2022,3,3,439,6,8.9,49.0,3.8918202981106265,2.186051276738094
2022,3,3,668,18,14.3,71.0,4.2626798770413155,2.6602595372658615
2022,3,3,668,19,12.2,73.0,4.290459441148391,2.501435951739211
2022,3,3,668,20,12.8,66.0,4.189654742026425,2.5494451709255714
2022,3,3,668,21,13.0,74.0,4.30406509320417,2.5649493574615367
2022,3,3,668,23,7.0,43.0,3.7612001156935624,1.9459101490553132
2022,3,3,833,18,16.2,86.0,4.454347296253507,2.785011242238338
2022,3,3,833,21,8.0,62.0,4.127134385045092,2.0794415416798357
2022,3,3,833,23,9.1,55.0,4.007333185232471,2.2082744135228043
2022,3,3,833,26,6.2,43.0,3.7612001156935624,1.824549292051046
2022,3,3,833,27,7.4,40.0,3.6888794541139363,2.0014800002101243
2022,3,3,922,13,8.0,58.0,4.060443010546419,2.0794415416798357
2022,3,3,922,15,5.5,34.0,3.5263605246161616,1.7047480922384253
2022,3,3,922,26,6.5,37.0,3.6109179126442243,1.8718021769015913
2022,3,3,922,37,5.0,22.0,3.091042453358316,1.6094379124341003
2022,3,3,1282,8,1.8,10.0,2.302585092994046,0.5877866649021191
2022,3,3,1282,11,3.5,22.0,3.091042453358316,1.252762968495368
2022,3,3,1282,13,5.4,40.0,3.6888794541139363,1.6863989535702288
2022,3,3,1315,22,5.8,25.0,3.2188758248682006,1.7578579175523736
2022,3,3,1475,11,16.9,71.0,4.2626798770413155,2.8273136219290276
2022,3,3,2597,1,14.0,82.0,4.406719247264253,2.6390573296152584
2022,3,3,2597,4,10.5,73.0,4.290459441148391,2.3513752571634776
2022,3,3,2597,6,11.9,74.0,4.30406509320417,2.4765384001174837
2022,3,3,2597,7,8.2,75.0,4.31748811353631,2.1041341542702074
2022,3,3,2597,8,13.7,80.0,4.382026634673881,2.617395832834079
2022,3,3,2597,9,18.7,78.0,4.356708826689592,2.928523523860541
2022,3,3,2597,10,7.9,66.0,4.189654742026425,2.066862759472976
2022,3,3,2597,11,11.8,78.0,4.356708826689592,2.468099531471619
2022,3,3,2597,12,11.0,81.0,4.394449154672439,2.3978952727983707
2022,3,3,2640,9,5.4,31.0,3.4339872044851463,1.6863989535702288
2022,3,3,2640,14,8.3,34.0,3.5263605246161616,2.1162555148025524
2022,3,7,953,26,1.9,11.0,2.3978952727983707,0.6418538861723947
2022,3,21,17,14,5.0,41.0,3.713572066704308,1.6094379124341003
2022,3,21,624,3,4.8,20.0,2.995732273553991,1.5686159179138452
2022,3,21,624,6,7.8,40.0,3.6888794541139363,2.0541237336955462
2022,3,21,624,7,13.7,55.0,4.007333185232471,2.617395832834079
2022,3,21,624,9,16.4,55.0,4.007333185232471,2.797281334830153
2022,3,21,624,11,6.1,22.0,3.091042453358316,1.8082887711792655
2022,3,21,624,12,5.1,26.0,3.258096538021482,1.62924053973028
2022,3,21,1040,8,12.4,58.0,4.060443010546419,2.517696472610991
2022,3,21,1040,10,5.3,34.0,3.5263605246161616,1.667706820558076
2022,3,21,1040,11,14.1,57.0,4.04305126783455,2.6461747973841225
2022,3,21,1040,12,13.1,55.0,4.007333185232471,2.5726122302071057
2022,3,21,1040,13,10.3,54.0,3.9889840465642745,2.33214389523559
