plot_sequence_number,inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
62277003010538,2005,2,9,479,9,14.5,77.0,4.343805421853684,2.6741486494265287
1192967949290487,2023,2,9,479,20,7.4,40.0,3.6888794541139363,2.0014800002101243
1287180365290487,2024,2,9,535,17,5.0,28.0,3.332204510175204,1.6094379124341003
55963917010538,2004,2,9,559,7,7.6,44.0,3.784189633918261,2.028148247292285
722577851290487,2021,2,9,559,11,3.2,19.0,2.9444389791664403,1.1631508098056809
722577851290487,2021,2,9,559,12,1.2,10.0,2.302585092994046,0.1823215567939546
722577851290487,2021,2,9,559,17,13.2,63.0,4.143134726391533,2.580216829592325
1192967945290487,2023,2,9,593,7,12.5,62.0,4.127134385045092,2.5257286443082556
1192967943290487,2023,2,9,642,6,2.9,16.0,2.772588722239781,1.0647107369924282
1192967943290487,2023,2,9,642,7,7.0,33.0,3.4965075614664802,1.9459101490553132
306275675489998,2016,2,9,642,14,6.3,27.0,3.295836866004329,1.840549633397487
1192967943290487,2023,2,9,642,17,1.0,10.0,2.302585092994046,0.0
1192967943290487,2023,2,9,642,18,5.2,20.0,2.995732273553991,1.6486586255873816
1192967943290487,2023,2,9,642,25,5.7,30.0,3.4011973816621555,1.7404661748405046
55963760010538,2004,2,9,676,4,5.8,32.0,3.4657359027997265,1.7578579175523736
618642396126144,2020,2,9,676,5,13.0,55.0,4.007333185232471,2.5649493574615367
618642396126144,2020,2,9,676,8,9.4,50.0,3.912023005428146,2.2407096892759584
16365594020004,2013,2,9,676,19,7.0,36.0,3.58351893845611,1.9459101490553132
618642396126144,2020,2,9,676,43,5.2,36.0,3.58351893845611,1.6486586255873816
618642399126144,2020,2,9,718,17,8.5,58.0,4.060443010546419,2.1400661634962708
816546005290487,2022,2,9,735,1,11.1,62.0,4.127134385045092,2.4069451083182885
816546005290487,2022,2,9,735,16,11.4,64.0,4.1588830833596715,2.4336133554004498
816546005290487,2022,2,9,735,17,2.1,10.0,2.302585092994046,0.7419373447293773
816546005290487,2022,2,9,735,21,1.5,9.0,2.1972245773362196,0.4054651081081644
816546005290487,2022,2,9,735,22,4.7,25.0,3.2188758248682006,1.547562508716013
122566840010661,2007,2,9,863,9,10.4,69.0,4.23410650459726,2.341805806147327
511267864126144,2019,2,9,863,14,8.1,39.0,3.6635616461296463,2.0918640616783932
511267864126144,2019,2,9,863,51,1.9,14.0,2.6390573296152584,0.6418538861723947
511267864126144,2019,2,9,863,59,6.7,34.0,3.5263605246161616,1.9021075263969205
722577853290487,2021,2,9,883,1,10.6,56.0,4.02535169073515,2.3608540011180215
722577853290487,2021,2,9,883,4,13.3,58.0,4.060443010546419,2.5877640352277083
722577853290487,2021,2,9,883,5,8.4,55.0,4.007333185232471,2.128231705849268
722577853290487,2021,2,9,883,6,2.0,22.0,3.091042453358316,0.6931471805599453
722577853290487,2021,2,9,883,7,10.0,55.0,4.007333185232471,2.302585092994046
722577853290487,2021,2,9,883,9,3.3,27.0,3.295836866004329,1.1939224684724346
722577853290487,2021,2,9,883,10,12.9,67.0,4.204692619390966,2.5572273113676265
722577853290487,2021,2,9,883,12,6.5,43.0,3.7612001156935624,1.8718021769015913
722577853290487,2021,2,9,883,14,12.6,62.0,4.127134385045092,2.533696813957432
171871764020004,2014,2,9,883,15,9.4,56.0,4.02535169073515,2.2407096892759584
171871764020004,2014,2,9,883,18,6.9,52.0,3.9512437185814275,1.9315214116032138
722577853290487,2021,2,9,883,19,6.4,53.0,3.970291913552122,1.8562979903656263
722577853290487,2021,2,9,883,21,7.3,55.0,4.007333185232471,1.9878743481543455
722577853290487,2021,2,9,883,22,1.3,10.0,2.302585092994046,0.26236426446749106
722577853290487,2021,2,9,883,23,4.5,29.0,3.367295829986474,1.5040773967762742
722577853290487,2021,2,9,883,24,6.4,43.0,3.7612001156935624,1.8562979903656263
722577853290487,2021,2,9,883,25,1.0,9.0,2.1972245773362196,0.0
722577853290487,2021,2,9,883,26,7.1,46.0,3.828641396489095,1.9600947840472698
722577853290487,2021,2,9,883,28,1.1,9.0,2.1972245773362196,0.09531017980432493
722577853290487,2021,2,9,883,30,8.0,45.0,3.8066624897703196,2.0794415416798357
722577853290487,2021,2,9,883,31,8.0,41.0,3.713572066704308,2.0794415416798357
722577853290487,2021,2,9,883,32,6.8,49.0,3.8918202981106265,1.916922612182061
722577853290487,2021,2,9,883,33,7.6,50.0,3.912023005428146,2.028148247292285
722577853290487,2021,2,9,883,34,7.7,45.0,3.8066624897703196,2.0412203288596382
722577853290487,2021,2,9,883,35,7.5,49.0,3.8918202981106265,2.0149030205422647
722577853290487,2021,2,9,883,37,6.4,50.0,3.912023005428146,1.8562979903656263
722577853290487,2021,2,9,883,38,6.6,40.0,3.6888794541139363,1.8870696490323797
171871764020004,2014,2,9,883,40,5.2,33.0,3.4965075614664802,1.6486586255873816
171871764020004,2014,2,9,883,41,5.0,37.0,3.6109179126442243,1.6094379124341003
722577853290487,2021,2,9,883,43,6.3,41.0,3.713572066704308,1.840549633397487
722577853290487,2021,2,9,883,44,5.3,40.0,3.6888794541139363,1.667706820558076
722577853290487,2021,2,9,883,45,5.2,36.0,3.58351893845611,1.6486586255873816
722577853290487,2021,2,9,883,46,5.2,36.0,3.58351893845611,1.6486586255873816
722577853290487,2021,2,9,883,49,5.5,36.0,3.58351893845611,1.7047480922384253
